LSOA code,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01001144,5183
E01001145,4281
E01001146,14580
E01001147,6270
E01001148,11948
E01001149,17888
E01001150,13899
E01001151,4019
E01001152,5158
E01001153,12275
E01001154,8530
E01001155,3291
E01001156,10027
E01001157,15973
E01001158,13982
E01001159,19487
E01001160,20215
E01001161,3575
E01001162,8850
E01001163,17644
E01001164,13940
E01001165,11281
E01001166,7025
E01001167,12891
E01001168,13421
E01001169,6795
E01001170,9544
E01001171,11031
E01001172,3467
E01001173,14566
E01001174,12417
E01001175,7742
E01001176,12219
E01001177,7251
E01001178,1096
E01001179,13775
E01001180,9127
E01001181,3607
E01001182,13038
E01001183,11301
E01001184,17067
E01001185,14358
E01001186,8461
E01001187,13847
E01001188,8950
E01001189,16383
E01001190,9331
E01001191,5914
E01001192,9166
E01001193,6123
E01001194,15918
E01001195,19967
E01001196,4857
E01001197,12321
E01001198,19095
E01001199,12563
E01001200,17969
E01001201,16425
E01001202,6344
E01001203,6778
E01001204,20285
E01001205,7545
E01001206,3637
E01001207,17745
E01001208,22354
E01001209,28190
E01001210,2075
E01001211,24028
E01001212,20550
E01001213,8943
E01001214,18010
E01001215,7934
E01001216,12636
E01001217,17865
E01001218,5429
E01001219,5527
E01001220,2523
E01001221,11345
E01001222,12874
E01001223,22559
E01001224,25604
E01001225,12984
E01001226,20668
E01001227,24152
E01001228,22860
E01001229,7923
E01001230,13358
E01001231,20102
E01001232,11537
E01001233,11472
E01001234,12109
E01001235,19722
E01001236,17674
E01001237,16963
E01001238,11044
E01001239,6813
E01001240,13977
E01001241,12616
E01001242,9639
E01001243,10522
E01001244,8569
E01001245,18507
E01001246,7075
E01001247,13338
E01001248,16655
E01001249,3848
E01001250,5176
E01001251,15489
E01001252,10397
E01001253,18300
E01001254,19351
E01001255,20547
E01001257,4021
E01001258,18071
E01001259,14241
E01001260,13738
E01001261,12265
E01001262,7386
E01001263,6069
E01001264,11124
E01001265,13878
E01001266,17834
E01001267,7140
E01001268,15642
E01001269,20420
E01001270,18289
E01001271,17106
E01001272,15184
E01001273,25179
E01001274,26422
E01001275,15212
E01001276,13885
E01001277,16527
E01001278,11526
E01001279,28128
E01001280,20279
E01001281,27738
E01001282,5881
E01001283,4237
E01001284,18191
E01001285,11937
E01001286,11665
E01001287,7443
E01001288,17925
E01001289,18420
E01001290,21401
E01001291,14947
E01001292,20084
E01001293,16678
E01001294,12398
E01001295,16799
E01001296,12764
E01001297,11800
E01001298,9045
E01001299,27061
E01001300,25967
E01001301,14321
E01001302,22524
E01001303,24632
E01001304,19885
E01001305,27464
E01001306,26685
E01001307,23210
E01001308,22868
E01001309,18839
E01001310,15589
E01001311,8519
E01001312,17313
E01001313,20272
E01001314,23394
E01001315,15913
E01001316,7159
E01001317,9896
E01001318,5532
E01001319,16095
E01001320,3831
E01001321,10147
E01001322,11458
E01001323,12015
E01001324,6468
E01001325,9812
E01001326,6645
E01001327,7636
E01001328,6406
E01001329,11307
E01001330,3501
E01001331,5126
E01001332,4277
E01001333,4369
E01001334,3919
E01001335,13665
E01001336,10825
E01001337,5627
E01001338,9484
E01001339,5657
E01001340,4859
E01001341,21235
E01001342,19108
E01001343,18564
E01001344,15761
E01001345,16547
E01001346,22171
E01001347,15517
E01001348,14879
E01001349,6422
E01001350,17789
E01001351,9030
E01001352,18684
E01001353,11787
E01001354,12592
E01001355,11088
E01001356,2863
E01001357,3722
E01001358,2888
E01001359,10824
E01001360,8447
E01001361,6178
E01001362,8413
E01001363,10083
E01001364,3672
E01001365,9026
E01001366,8743
E01001367,7890
E01001368,8520
E01001369,10823
E01001370,10253
E01001371,9509
E01001372,7551
E01001373,9995
E01001374,23089
E01001375,29992
E01001376,11416
E01001377,26779
E01001379,28867
E01001380,21610
E01001381,16099
E01001382,26572
E01001383,22673
E01001384,24713
E01001385,26344
E01001386,24623
E01001387,17508
E01001388,5956
E01001389,13509
E01001390,23838
E01001391,10400
E01001392,23651
E01001393,15156
E01001394,9612
E01001395,5795
E01001396,15197
E01001397,10992
E01001398,25510
E01001399,23079
E01001400,24050
E01001401,21705
E01001402,25812
E01001403,18070
E01001404,15105
E01001405,22069
E01001406,11086
E01001407,15675
E01001408,17296
E01001409,5926
E01001410,2967
E01001411,20608
E01001412,8853
E01001413,27340
E01001414,3518
E01001415,18476
E01001416,27463
E01001417,26756
E01001418,13494
E01001419,18716
E01001420,9953
E01001421,9728
E01001422,27233
E01001423,7161
E01001424,2918
E01001425,2455
E01001426,3965
E01001427,3582
E01001428,4845
E01001429,2781
E01001430,3702
E01001431,3388
E01001432,4375
E01001433,5499
E01001434,8928
E01001435,10023
E01001436,8730
